Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3/checks/,1401,0,1500,1604.4063456102779,15.396099999634316,4919.607399999222,4939.0,15.729389124787733,0.0,1500,1500,1600,1700,2400,2600,3400,3500,4700,4900,4900
POST,/api/v3/checks/ [create],200,0,590,825.1938395000799,115.17190000085975,3662.529100000029,985.0,2.2454516951873997,0.0,590,970,1300,1500,1600,2200,2600,3700,3700,3700,3700
GET,/api/v3/checks/<uuid>,872,0,1500,1588.1640762614725,13.8225999999122,5509.971899999073,985.0,9.790169391017063,0.0,1500,1500,1600,1700,2400,2600,3400,3600,5500,5500,5500
GET,/api/v3/tasks/stats/,606,0,1500,1608.6598334983885,47.139899999820045,4853.548000000956,105.92079207920793,6.803718636417821,0.0,1500,1500,1600,1700,2400,2600,3400,3500,4900,4900,4900
POST,/ping/<uuid>,2947,1,1500,1601.4608917203923,15.954700000293087,5759.742199999891,2.050220563284696,33.08673072858633,0.011227258475936999,1500,1500,1600,1700,2500,2600,3400,3600,4800,5800,5800
,Aggregated,6026,1,1500,1575.181586392304,13.8225999999122,5759.742199999891,1335.1624626617988,67.65545957599635,0.011227258475936999,1500,1500,1600,1700,2400,2600,3400,3600,4800,5800,5800
