Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3/checks/,1445,0,1600,2281.907336747441,146.3173000011011,64452.2065000001,4939.0,16.16938442320187,0.0,1600,2500,2600,2900,3800,4600,5900,6700,11000,64000,64000
POST,/api/v3/checks/ [create],248,0,1200,1654.9213870967656,183.68329999975685,31452.58929999909,985.0,2.775091582667172,0.0,1200,1600,1700,1800,3300,3800,9300,11000,31000,31000,31000
GET,/api/v3/checks/<uuid>,892,0,1600,2238.9551248878897,157.42610000052082,30164.863399999376,985.0,9.981377789270635,0.0,1600,2500,2700,3000,3700,4500,5800,6600,30000,30000,30000
GET,/api/v3/tasks/stats/,614,0,1500,2318.4078923453153,125.03839999953925,64460.35200000006,105.92182410423453,6.870589644184046,0.0,1500,2400,2600,2900,3600,4500,5900,7200,64000,64000,64000
POST,/ping/<uuid>,2909,6,1600,2282.923749604684,6.793300000936142,30224.223900000652,2.305259539360605,32.55137666926937,0.06713931248388319,1600,2500,2700,3200,3800,4600,5600,6500,15000,30000,30000
,Aggregated,6108,6,1600,2254.330748280957,6.793300000936142,64460.35200000006,1364.0302881466928,68.34782010859308,0.06713931248388319,1600,2500,2700,3000,3700,4600,5800,6700,23000,64000,64000
