Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3/checks/,1542,0,900,920.4352419584756,30.627300000560354,1858.0180999997538,4939.0,17.293271212728676,0.0,900,940,980,1000,1100,1300,1600,1700,1800,1900,1900
POST,/api/v3/checks/ [create],150,0,440,554.2891293333378,118.84570000074746,1350.954700001239,985.0,1.6822248261409218,0.0,440,670,870,960,1100,1200,1300,1300,1400,1400,1400
GET,/api/v3/checks/<uuid>,889,0,890,927.2312725534773,31.466700000237324,1845.94560000005,985.0,9.96998580292853,0.0,890,940,990,1000,1200,1400,1600,1700,1800,1800,1800
GET,/api/v3/tasks/stats/,557,0,890,922.4023287253352,265.14789999964705,1813.2562000009784,105.91382405745063,6.2466615210699565,0.0,890,940,980,1000,1200,1300,1500,1700,1800,1800,1800
POST,/ping/<uuid>,2882,5,910,936.1999822345642,10.019900000770576,1917.4214999984542,2.25676613462873,32.321146326254244,0.05607416087136406,910,960,1000,1000,1100,1400,1600,1700,1800,1900,1900
,Aggregated,6020,5,900,920.044777358811,10.019900000770576,1917.4214999984542,1445.9885382059801,67.51328968912233,0.05607416087136406,900,950,990,1000,1200,1400,1600,1700,1800,1900,1900
